Countermeasure,Cost
Crosswalk,1.000
Crosswalk,1.046149106
Crosswalk,1.141520321
Crosswalk,5.000
Crosswalk,5.230745532
Crosswalk,5.707601606
FlashingSignal,16.08195609
FlashingSignal,52.30745532
FlashingSignal,8.36919285
FlashingSignal,12.23859501
PHB,75.13304272
PHB,193.1992527
PHB,10.000
PHB,22.36613792
PHB,156.9223659
