intersection_used,seconds
Tremont,212
Shawmut,245
Tremont,234
Shawmut,228
Tremont,327
Shawmut,267
Tremont,241
Shawmut,232
Tremont,215
Tremont,269
Shawmut,271
Jaywalk,24
Jaywalk,35
Jaywalk,19
Jaywalk,32
Jaywalk,36
Jaywalk,40
Jaywalk,15
Jaywalk,19
Jaywalk,19
Jaywalk,12
Jaywalk,20
Jaywalk,15
Jaywalk,13
Jaywalk,15
Crosswalk,16
Crosswalk,20
Crosswalk,27
PHB,25
PHB,34
PHB,30
