Date,Time,Jaywalkers,Fence Jumpers
10/10/19,4:50-5:00,16,
10/10/19,5:00-5:10,5,
10/10/19,5:10-5:20,2,
10/10/19,5:20-5:30,6,
10/10/19,5:30-5:40,4,
10/10/19,5:40-5:50,3,
10/15/19,10:55-11:05,8,1
